"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"22 (F3)","A-1","1197.00180908008","431.20844129337","183.370287184762","377",""
"23 (G3)","A-2","1137.82583585686","280.100397621361","205.87956565807","367",""
"24 (H3)","QC-L-1","1811.2906803117","119.762997388502","184.670461343793","368",""
"25 (A4)","ConA","1015.08047140341","264.468429101062","408.658126733648","309",""
"26 (B4)","ConB","490.717093402681","606.113575557499","1560.63323504999","358",""
"27 (C4)","3507","3932.55409718324","426.586276667735","271.496401839303","368",""
"28 (D4)","3512","2399.98682917261","127.592023382549","212.816775179918","309",""
"29 (E4)","3509","1134.73236371963","1509.85000569529","3543.7959673814","362",""
"30 (F4)","A-1","1069.66509146507","318.043424215626","167.380192340309","362",""
"31 (G4)","A-2","1294.99296969892","354.449845691087","248.915930597161","355",""
"32 (H4)","QC-L-1","1424.23758429418","150.036870872209","326.652113930637","354",""
"33 (A5)","QC-L-2","1518.96223598843","116.926385067612","170.77106034251","316",""
"34 (B5)","45-1","563.109972988545","607.678439806099","1357.14244397275","358",""
"35 (C5)","45-2","1465.42758992491","1265.90603495196","985.497557470244","343",""
"36 (D5)","48-1","1127.23215049568","231.169392616275","2113.34088497477","373",""
"37 (E5)","48-2","1479.46668066313","395.538252624039","2004.31259127297","330",""
"38 (F5)","52-1","1177.6308823012","76.060984715193","183.251772491324","348",""
"39 (G5)","52-2","1139.61101191804","75.3527787549889","141.554345092986","384",""
"40 (H5)","background","466.109700097791","3.65770757734649","2867.6517177066","356",""
"41 (A6)","QC-L-2","1327.95099025706","99.1073503281882","232.933540398166","316",""
"42 (B6)","45-1","508.725304782081","633.142533977952","1216.7312674838","331",""
"43 (C6)","45-2","577.384749879956","381.114218225854","1584.83649792384","368",""
"44 (D6)","48-1","1066.45852735842","126.760056102212","1864.49764510065","325",""
"45 (E6)","48-2","1067.46287381328","129.102688867675","1082.55377631181","351",""
"46 (F6)","52-1","1226.61019606522","84.6603971845494","283.069519069543","326",""
"47 (G6)","52-2","944.093889783888","75.9379651268081","317.996286181474","344",""
"48 (H6)","background","428.431599008746","21.2406474562795","27.7872509099283","337",""

"DataType:","Trimmed Count"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","90","120","121","365",""
"2 (B1)","St1","90","107","95","322",""
"3 (C1)","St2","95","127","90","344",""
"4 (D1)","St3","90","115","96","333",""
"5 (E1)","St4","90","106","90","316",""
"6 (F1)","St5","90","139","101","364",""
"7 (G1)","St6","90","96","90","306",""
"8 (H1)","St7","90","111","100","333",""
"9 (A2)","Background","90","150","109","385",""
"10 (B2)","St1","109","103","90","332",""
"11 (C2)","St2","90","112","90","324",""
"12 (D2)","St3","103","115","90","340",""
"13 (E2)","St4","115","145","90","388",""
"14 (F2)","St5","109","134","90","367",""
"15 (G2)","St6","90","108","105","333",""
"16 (H2)","St7","90","141","121","388",""
"17 (A3)","ConA","90","144","102","372",""
"18 (B3)","ConB","90","119","94","335",""
"19 (C3)","3507","90","116","109","349",""
"20 (D3)","3512","90","103","103","326",""
"21 (E3)","3509","92","126","90","340",""
"22 (F3)","A-1","121","130","90","377",""
"23 (G3)","A-2","103","140","90","367",""
"24 (H3)","QC-L-1","97","145","90","368",""
"25 (A4)","ConA","92","97","90","309",""
"26 (B4)","ConB","90","131","103","358",""
"27 (C4)","3507","90","149","93","368",""
"28 (D4)","3512","90","99","90","309",""
"29 (E4)","3509","90","133","105","362",""
"30 (F4)","A-1","102","136","90","362",""
"31 (G4)","A-2","104","127","90","355",""
"32 (H4)","QC-L-1","113","117","90","354",""
"33 (A5)","QC-L-2","95","101","90","316",""
"34 (B5)","45-1","106","128","90","358",""
"35 (C5)","45-2","90","122","99","343",""
"36 (D5)","48-1","90","127","122","373",""
"37 (E5)","48-2","92","116","90","330",""
"38 (F5)","52-1","90","134","90","348",""
"39 (G5)","52-2","90","135","123","384",""
"40 (H5)","background","90","127","105","356",""
"41 (A6)","QC-L-2","96","100","90","316",""
"42 (B6)","45-1","97","112","90","331",""
"43 (C6)","45-2","90","152","90","368",""
"44 (D6)","48-1","100","105","90","325",""
"45 (E6)","48-2","90","106","123","351",""
"46 (F6)","52-1","97","109","90","326",""
"47 (G6)","52-2","90","112","108","344",""
"48 (H6)","background","100","115","90","337",""

"DataType:","Trimmed Mean"
"Location","Sample","Abeta1-42","P-tau181P","tau","Total Events","Notes"
"1 (A1)","Background","12.1666666666667","9.96666666666667","3.35537190082645","365",""
"2 (B1)","St1","20390.0333333333","11523.4112149533","20669.4","322",""
"3 (C1)","St2","14858.1894736842","6105.51968503937","13814.8333333333","344",""
"4 (D1)","St3","9342.78888888889","2260.80869565217","5858.30208333333","333",""
"5 (E1)","St4","5722.96666666667","628.198113207547","1634.44444444444","316",""
"6 (F1)","St5","2849.4","172.10071942446","476.831683168317","364",""
